account_id,member_id,service_address,service_city,service_state,start_date,end_date,billing_status_cd
300045,101262,454 Wood Mountains,Port Meganside,NC,2025-12-13,,ACTIVE
300046,100100,9830 Brandon Court,Barronfort,GA,2023-03-24,,ACTIVE
300047,100859,92039 Joseph Road Apt. 019,Lake John,VA,2025-07-29,,ACTIVE
300048,100071,68891 Sanders Groves Apt. 036,Dannyberg,NC,2021-12-13,,ACTIVE
300049,101241,6486 Park Fields Suite 888,New Aliceland,GA,2019-11-06,,ACTIVE
300050,100707,3187 Sara Mountain,Michealfurt,GA,2021-05-20,,ACTIVE
300051,100122,90303 Michael Glen,Tonyhaven,VA,2022-02-22,,ACTIVE
300052,101154,97587 Johnson Brook Suite 278,Williamsside,SC,2020-03-15,,ACTIVE
300053,100930,5710 Hampton Extension Suite 605,Paulfort,SC,2025-05-21,,ACTIVE
300054,100513,802 Tapia Mission Suite 702,Lake Stevenside,SC,2021-06-18,,ACTIVE
300055,101327,74324 Gina Junction Suite 555,Port Andrewfurt,NC,2019-09-21,,ACTIVE
300056,100747,8281 Kimberly Station Suite 784,North Joseshire,FL,2024-10-02,,ACTIVE
300057,101703,575 Ronald Haven,Port William,NC,2020-10-04,,ACTIVE
300058,100951,7331 Angela Cove,South Jessica,SC,2025-07-28,,ACTIVE
300059,101651,79866 Justin Springs,Port Elizabeth,NC,2023-11-20,,ACTIVE
300060,100317,54502 Hill Field,Baldwinville,SC,2020-04-03,,ACTIVE
300061,100386,278 Thomas Causeway,South Matthew,NC,2019-06-20,,ACTIVE
300062,101572,4027 Daniel Forks Suite 366,Georgestad,NC,2025-04-30,,ACTIVE
300063,100388,70060 Parker Viaduct,Trevinoview,NC,2024-03-05,,ACTIVE
300064,100189,1881 Terry Junction,Lake Keithchester,FL,2019-08-03,,ACTIVE
300065,101402,7407 Thompson Springs Apt. 461,South Rachael,VA,2023-09-05,2026-06-30,CLOSED
300066,100942,43544 Philip Port Apt. 454,South Jason,TN,2020-06-12,,ACTIVE
300067,100394,078 Beltran Well,Cummingsshire,NC,2019-10-04,,ACTIVE
300068,100135,965 Collins Oval,Kellyhaven,SC,2020-08-27,,ACTIVE
300069,101125,82282 Johnson Brook Suite 037,Lake Stevenside,SC,2019-07-31,,ACTIVE
300070,101348,421 Julie Ways Suite 246,South Erinmouth,NC,2024-11-14,,ACTIVE
300071,100058,3632 Phillips Trace Suite 089,Hoffmanfort,SC,2020-03-25,2020-05-28,CLOSED
300072,100876,81690 Henderson Drives Apt. 485,West Johnmouth,NC,2018-06-16,,ACTIVE
300073,101083,91153 Dawn Isle,Mariafort,NC,2024-03-02,,ACTIVE
300074,100937,8245 Alyssa Crossing,New Courtney,NC,2021-08-09,,ACTIVE
300075,100506,3030 Daniel Isle,West Richardberg,GA,2019-12-08,,ACTIVE
300076,101985,22308 Michael Neck Apt. 075,Glendafort,NC,2025-09-30,2026-06-30,CLOSED
300077,101341,6382 Donald Corners Suite 283,Jillberg,NC,2018-04-02,,ACTIVE
300078,101089,06804 Wright Pine Suite 619,Port Joseph,VA,2021-02-02,2023-04-01,CLOSED
300079,100115,334 Katelyn Fords,Chenview,NC,2018-10-17,,ACTIVE
300080,101221,02880 Burgess Mountain,Grahamchester,FL,2018-02-12,,ACTIVE
300081,100168,99287 Christian Road,West John,NC,2020-09-09,,ACTIVE
300082,100432,63120 Manning Route,Parkerchester,TN,2020-08-22,,ACTIVE
300083,101793,1822 Kim Knolls,West Christopher,NC,2022-12-30,2024-02-01,CLOSED
300084,101598,0618 Wesley Point,Richardsonfort,VA,2019-11-27,2020-02-06,CLOSED
300085,100567,9151 Kari Isle Apt. 799,North Olivia,NC,2021-06-26,,ACTIVE
300086,101254,04980 Perry Stravenue,New Matthew,VA,2021-09-12,,ACTIVE
300087,101736,057 Shelby Crest Apt. 698,Jamestown,SC,2020-06-17,,ACTIVE
300088,100099,96070 Ronald Walks Suite 983,Gloverberg,NC,2018-05-27,,ACTIVE
300089,100792,4044 Ruben Tunnel Suite 346,Whitneyland,NC,2018-09-24,,ACTIVE
300090,100587,625 Blake View Apt. 772,Kingshire,NC,2024-08-14,,ACTIVE
300091,100616,6869 Andrade Dam Suite 453,Kellyport,NC,2023-09-01,,ACTIVE
300092,100393,46844 Stein Inlet,Peterland,VA,2019-04-04,,ACTIVE
300093,101508,9216 Jacqueline Plaza Apt. 714,Arroyoview,NC,2020-01-18,,ACTIVE
300094,100219,788 Cheryl Junctions,Kylebury,GA,2019-08-11,,ACTIVE
300095,100534,563 Lee Throughway Suite 110,East Edward,NC,2022-01-17,,ACTIVE
300096,100361,022 Yvette Brooks Apt. 617,Port Jamesborough,NC,2024-01-02,,ACTIVE
300097,101315,4764 Stewart Summit Suite 931,Cartershire,GA,2021-09-24,,ACTIVE
300098,101096,72359 Keller Views,Port Diana,TN,2025-11-22,2026-06-30,CLOSED
300099,100471,64783 Kyle Rapids,Nelsonborough,VA,2021-02-07,,ACTIVE
300100,101143,634 Greer Mission Suite 169,Fergusonmouth,NC,2021-09-17,,ACTIVE
300101,101651,4667 Donald Cliffs,Port Claireville,NC,2021-01-10,,ACTIVE
300102,101108,29536 Courtney Ways,Reyeston,NC,2022-06-16,,ACTIVE
300103,101897,7201 Lopez Mountain,New Richard,FL,2021-03-20,,ACTIVE
300104,100773,389 Evans Corners Apt. 183,Lake Cassandraside,SC,2018-09-26,2021-03-15,CLOSED
300105,100620,1776 Dylan Lodge,Lindseyberg,VA,2020-11-30,,ACTIVE
300106,100242,2588 Veronica Landing Suite 073,Leeborough,NC,2023-09-30,,ACTIVE
300107,100685,464 Brenda Parkway Suite 247,Myersmouth,GA,2025-04-19,,ACTIVE
300108,100557,927 Washington Gardens,Lake Aprilville,NC,2020-11-07,2021-11-23,CLOSED
300109,101113,2200 Steve Road Suite 195,Smithshire,VA,2019-12-30,,ACTIVE
300110,100623,2388 Frederick Fork,New Jameschester,FL,2022-11-16,,ACTIVE
300111,101916,81002 Debra Trail Suite 042,West Emma,NC,2021-02-06,,ACTIVE
300112,100530,42312 Adam River Suite 766,Lake Justinburgh,NC,2022-12-11,,ACTIVE
300113,101314,28204 Karla Pine Apt. 472,Mooremouth,NC,2020-11-21,,ACTIVE
300114,100864,556 Carol Oval Apt. 305,Lake William,VA,2018-11-04,2021-01-12,CLOSED
300115,101148,63979 Walter Throughway Apt. 539,Mosesshire,FL,2020-04-29,2023-03-11,CLOSED
300116,100013,53715 Hernandez Locks,North Saraside,TN,2018-05-11,,ACTIVE
300117,101526,257 Jasmine Gardens Suite 471,Arthurmouth,GA,2018-06-27,,ACTIVE
300118,100911,88382 Holmes Lane Apt. 196,West Edwin,NC,2025-07-17,2026-06-30,CLOSED
300119,101097,6081 Green Green,New Christy,NC,2018-04-05,,ACTIVE
300120,100700,22247 Macdonald Trail Suite 894,New Vanessatown,SC,2021-10-04,,ACTIVE
300121,101720,436 Olivia Cliff Apt. 888,South Tracy,NC,2024-03-01,,ACTIVE
300122,101484,564 Lisa Shores,Scottburgh,SC,2019-01-18,,ACTIVE
300123,101342,17460 Raymond Creek Suite 720,Maryside,NC,2024-12-23,2026-06-30,CLOSED
300124,100068,56131 Nichols Coves Apt. 305,Kelleyborough,NC,2020-12-31,,ACTIVE
300125,101357,2073 Cobb Fields Suite 239,Carneyton,NC,2023-07-10,,ACTIVE
300126,101909,94856 Elaine Point Suite 312,North Arielport,SC,2019-04-21,,ACTIVE
300127,100593,188 Paul Spur Apt. 244,North Jamie,TN,2022-06-14,,ACTIVE
300128,101864,803 Bush Shores Apt. 127,Hancockhaven,FL,2020-06-29,,ACTIVE
300129,101583,43631 Turner Curve,Melissaport,NC,2025-09-24,,ACTIVE
300130,101481,1402 Calvin Lights Apt. 733,Lake Amandaberg,FL,2023-06-11,,ACTIVE
300131,100286,4244 John Walk,Jacobstown,NC,2021-03-08,,ACTIVE
300132,100445,90110 Oliver Springs Apt. 185,Mirandamouth,NC,2025-06-07,,ACTIVE
300133,100306,781 Thomas Trail Apt. 016,Michaelland,VA,2025-05-17,,ACTIVE
300134,101886,1058 Wilson Oval,Port Patrickborough,NC,2022-12-05,,ACTIVE
300135,100429,7871 Davis Grove,West Crystal,NC,2024-03-30,,ACTIVE
300136,101872,14443 Barnes Ramp Apt. 156,Candacechester,SC,2025-12-15,,ACTIVE
300137,100257,760 Jordan Springs Apt. 551,Nicolasshire,SC,2023-02-03,2023-11-18,CLOSED
300138,100458,3102 Reyes Overpass Apt. 881,Lake Ethanburgh,NC,2023-10-30,,ACTIVE
300139,100670,057 King Landing,Jennifertown,NC,2021-06-23,,ACTIVE
300140,100626,89809 Robertson Summit,Spearsburgh,TN,2023-04-27,,ACTIVE
300141,101677,8509 Lisa Fords,Martinezmouth,GA,2023-07-25,,ACTIVE
300142,101497,03975 Kathleen Dam Suite 016,New Stevenmouth,NC,2023-04-20,,ACTIVE
300143,100226,9703 Ian Junction,Gonzalezchester,GA,2019-12-06,,ACTIVE
300144,100725,3926 Jill Street,Duranland,SC,2021-10-09,,ACTIVE
300145,101073,6147 Mitchell Wall Apt. 426,Crystalport,NC,2021-01-24,,ACTIVE
300146,101113,5748 Kathleen Meadow,Port Charlesville,VA,2022-11-20,,ACTIVE
300147,101436,04939 Kyle Cliff Apt. 021,South Philip,NC,2025-10-15,,ACTIVE
300148,100210,7586 Natalie Fields Apt. 316,Mariachester,NC,2021-09-24,,ACTIVE
300149,100131,559 Roberson Summit Apt. 851,Elliottchester,NC,2022-09-21,,ACTIVE
300150,100573,4048 Christina Creek Apt. 657,Brockville,GA,2024-01-26,,ACTIVE
300151,101287,0813 Brian Stream,East Kenneth,SC,2019-01-17,,ACTIVE
300152,100334,0256 Eddie Light,Port Tammyville,TN,2024-11-12,,ACTIVE
300153,100685,738 Harris Port Suite 709,North Scottchester,NC,2020-11-17,,ACTIVE
300154,100099,929 Lawrence Club Apt. 162,North Mallory,NC,2018-10-10,2022-08-14,CLOSED
300155,100909,65349 Romero Mountain Suite 960,Lake Robertstad,NC,2025-08-04,,ACTIVE
300156,100107,509 Luis Trace,Evanbury,TN,2023-04-04,,ACTIVE
300157,101748,7155 Amy Shoal,Laurafurt,SC,2019-04-18,,ACTIVE
300158,101744,84614 Williams Ranch,Port Kathleenberg,NC,2019-04-01,,ACTIVE
300159,100845,40639 Jessica Parkway,Daviesside,GA,2019-04-20,,ACTIVE
300160,101683,967 Smith Shoals,East Joe,NC,2018-07-03,2022-01-22,CLOSED
300161,100284,737 Jimenez Lodge,Jasonton,SC,2018-03-28,,ACTIVE
300162,101659,2677 Mary Tunnel Suite 705,West Kevin,NC,2025-10-09,,ACTIVE
300163,100973,2297 Amanda Glens,Michaelshire,GA,2020-12-20,,ACTIVE
300164,101564,41982 Jones Via,West Jeremiah,GA,2025-08-09,,ACTIVE
300165,101058,7917 Jeremy Rue,Lorettaside,FL,2018-08-05,,ACTIVE
300166,100426,7249 Eric Rapid Suite 868,Nathanielberg,TN,2021-08-20,,ACTIVE
300167,101261,427 Maria Ports Apt. 850,Smithbury,SC,2018-12-03,,ACTIVE
300168,101800,60283 Harvey Spring Apt. 061,Jeffreymouth,TN,2025-05-05,,ACTIVE
300169,100168,11671 Alexander Plains Apt. 829,East Brandonton,VA,2025-07-13,2026-06-30,CLOSED
300170,101927,6438 Henry Point Apt. 352,Wilsonborough,VA,2019-05-18,2022-09-21,CLOSED
300171,101175,24798 Derrick Loop,Kyleborough,FL,2019-03-13,2022-08-31,CLOSED
300172,101746,97980 Perez Circles Suite 998,West Joyberg,GA,2019-03-19,,ACTIVE
300173,100584,62580 Hall Expressway Apt. 160,Donnaland,NC,2025-03-17,,ACTIVE
300174,100208,537 Lane Throughway Suite 316,North Jennifer,VA,2019-04-15,,ACTIVE
300175,100715,59744 Karen Pike Apt. 818,Lake Taylorside,NC,2018-01-28,,ACTIVE
300176,101011,59006 Henderson Cliff,North Kari,NC,2018-05-27,2021-04-02,CLOSED
300177,100997,0519 Caroline Canyon,Port Ginaville,NC,2019-06-14,,ACTIVE
300178,101626,49884 Brian Course,New Andrea,NC,2026-01-29,,ACTIVE
300179,100077,060 Adams Course Apt. 333,Davidchester,SC,2018-12-21,,ACTIVE
300180,101047,5314 Christopher Spurs Apt. 500,Ronaldton,GA,2024-09-22,,ACTIVE
300181,101291,581 Neal Parkways Apt. 022,Donaldborough,SC,2020-04-30,,ACTIVE
300182,101130,29995 Ramos Place,North Lindsey,NC,2025-10-27,,ACTIVE
300183,101024,215 Ellis Viaduct Apt. 681,Mackland,NC,2022-10-09,2026-04-03,CLOSED
300184,100944,781 Montes Tunnel,North Leslie,TN,2019-09-28,,ACTIVE
300185,100079,5692 Solomon Highway Suite 882,Victoriamouth,FL,2022-08-12,,ACTIVE
300186,101725,8908 Matthew Roads Suite 946,Port Philip,NC,2022-03-10,,ACTIVE
300187,101154,758 Griffin Lane,Avilaton,NC,2019-12-04,,ACTIVE
300188,100081,2805 White Burgs,Doyleborough,NC,2024-03-01,,ACTIVE
300189,101132,85377 Saunders Field,Mathiston,SC,2023-07-25,,ACTIVE
300190,100051,062 Benjamin Extension,Josephville,NC,2021-09-14,,ACTIVE
300191,101135,01523 Edwards Branch,Alexanderburgh,SC,2025-01-20,,ACTIVE
300192,101721,3276 Jennifer Brook,Ricefort,NC,2024-06-01,,ACTIVE
300193,100033,59830 Levi Dam Apt. 850,Laurenport,NC,2023-01-28,,ACTIVE
300194,101484,4864 Valencia Canyon Apt. 638,Wrightville,GA,2024-11-01,2026-06-30,CLOSED
300195,100428,85732 Christopher Green Apt. 768,Carlborough,NC,2019-04-06,,ACTIVE
300196,101938,566 Jesse Forest Suite 991,Simpsonfort,NC,2024-04-21,,ACTIVE
300197,101087,8024 Mclaughlin Hills,South Brianbury,NC,2025-08-21,,ACTIVE
300198,101882,82358 Kayla Loop Suite 508,Cortezmouth,SC,2025-03-25,,ACTIVE
300199,100290,8951 Pope Port Suite 162,Port George,NC,2022-10-24,,ACTIVE
300200,101521,7740 Bauer Forks,West Denise,NC,2020-03-29,2020-10-13,CLOSED
300201,101372,864 Sparks Forest,New Barbaraton,SC,2023-07-01,,ACTIVE
300202,101487,39416 Sandra Fall Suite 477,South Carlos,SC,2018-01-19,,ACTIVE
300203,101281,1489 Robin Forest,West Karenland,VA,2021-06-02,2023-07-29,CLOSED
300204,100686,065 Thompson Islands Apt. 801,Hillville,VA,2019-03-21,,ACTIVE
300205,101510,649 Rebecca Branch,New April,NC,2025-08-13,,ACTIVE
300206,101271,50270 Michael Bypass Suite 417,East Kaitlin,SC,2019-05-29,,ACTIVE
300207,101237,6648 Mata Curve,Port Denisechester,TN,2023-10-12,2024-06-03,CLOSED
300208,101385,5145 Carolyn Neck Apt. 420,West Luisfort,NC,2021-01-08,,ACTIVE
300209,100197,36454 Marilyn Village,Hannahshire,GA,2025-03-06,,ACTIVE
300210,101617,65378 Campbell Canyon,New Dianaside,NC,2020-01-26,,ACTIVE
300211,101786,63499 Lee Forges,Rebeccastad,NC,2025-03-07,,ACTIVE
300212,100945,3219 Alexa Gateway,Kyliestad,NC,2023-02-07,,ACTIVE
300213,100502,3024 Duarte Heights Apt. 317,Montesview,SC,2018-04-03,,ACTIVE
300214,100622,8654 Zuniga Locks,North Anthony,SC,2024-01-15,2024-07-30,CLOSED
300215,100447,16596 Eric Cliffs,South Robert,SC,2019-06-29,2021-02-24,CLOSED
300216,101432,526 Amanda Via Suite 017,Meganbury,NC,2023-10-16,,ACTIVE
300217,101233,187 Colleen Highway Apt. 320,Port Joshualand,GA,2018-08-11,,ACTIVE
300218,100238,5303 Albert Loop,Conradmouth,GA,2025-12-03,,ACTIVE
300219,100810,98281 Hobbs Rapid,Bakerview,SC,2018-07-02,,ACTIVE
300220,101482,26709 Norton Tunnel Suite 037,Port Sara,NC,2021-11-25,,ACTIVE
300221,100579,2869 Hester Unions,Juliaburgh,GA,2023-10-23,,ACTIVE
300222,101261,7767 Harvey Mall Apt. 657,Chenton,VA,2025-06-17,2026-06-30,CLOSED
300223,100524,0892 Stephanie Greens,Marissaland,SC,2024-04-26,,ACTIVE
300224,100293,093 Olivia Junction,North Lindsay,TN,2025-02-18,,ACTIVE
300225,100217,8217 Smith Plains,New Johnview,SC,2023-01-03,2024-01-05,CLOSED
300226,101616,690 Taylor Divide,Smithville,NC,2024-05-21,2026-06-30,CLOSED
300227,100103,273 Paul Hill Apt. 211,Jessicashire,GA,2019-12-27,,ACTIVE
300228,101978,422 Christopher Tunnel Apt. 325,East Heidi,NC,2023-05-07,,ACTIVE
300229,101284,26965 Jeremiah Harbor,Sharimouth,NC,2020-05-24,,ACTIVE
300230,100032,61312 Johnson Spring,North Zacharyview,NC,2025-01-11,,ACTIVE
300231,101728,9378 George Avenue Suite 072,East Kim,FL,2025-02-18,,ACTIVE
300232,101224,87982 Stephanie Brook,West Antonio,NC,2025-09-22,,ACTIVE
300233,100069,561 Alexis Burgs,Lake Sarah,NC,2019-11-04,,ACTIVE
300234,101592,8085 Ruiz Island,New Nicolasbury,VA,2021-12-02,,ACTIVE
300235,101240,96530 Kimberly Orchard Apt. 223,Rodriguezborough,SC,2025-04-01,2026-06-30,CLOSED
300236,100150,744 Catherine Harbors Apt. 225,Davidfurt,GA,2022-10-15,,ACTIVE
300237,100085,4733 Lynch Flats,North Anthony,NC,2021-08-13,,ACTIVE
300238,101768,31191 Karla Common,Michaelbury,NC,2021-11-05,,ACTIVE
300239,101000,158 Gomez Street,New Chase,VA,2018-01-28,,ACTIVE
300240,100765,1395 Matthew Street Suite 721,Jacksonside,NC,2023-12-28,,ACTIVE
300241,100591,184 Jeffery Hills Apt. 440,West Robert,NC,2022-12-12,,ACTIVE
300242,100574,0575 Williams Highway,Port Mikaylaton,GA,2019-10-05,,ACTIVE
300243,100577,7386 Christopher Key Apt. 911,East Taylorstad,NC,2024-04-25,,ACTIVE
300244,100548,845 Scott Glens,Barajasville,FL,2022-08-05,,ACTIVE
300245,101610,99538 Christopher Heights,Hollandshire,FL,2025-12-13,,ACTIVE
300246,100710,50316 Clark Forges Suite 164,Charlesburgh,SC,2019-05-06,,ACTIVE
300247,100780,669 Wallace Fall Apt. 528,South Jose,SC,2021-07-06,2021-09-06,CLOSED
300248,101498,20233 Gary Greens,Smithborough,SC,2024-08-05,,ACTIVE
300249,100383,14981 Castro Wall,Isabelfurt,NC,2023-07-26,2026-06-30,CLOSED
300250,101623,582 Brooke Track Apt. 001,North Duanestad,NC,2020-09-05,,ACTIVE
300251,101167,74148 Christine Terrace,Thomasland,NC,2019-05-19,,ACTIVE
300252,101696,82995 Harrell Track,South Gregoryview,SC,2025-10-25,,ACTIVE
300253,101334,32986 Russell Road Apt. 150,Port Feliciaport,VA,2022-05-15,,ACTIVE
300254,100952,8970 Mann Divide,Baldwinfurt,SC,2020-10-12,,ACTIVE
300255,100577,6591 Lawson Haven,East Caitlinfurt,SC,2019-12-24,,ACTIVE
300256,100265,03581 Emily Fall Apt. 708,Port Toddberg,GA,2025-06-22,,ACTIVE
300257,101668,625 Cardenas Corners,Kingmouth,SC,2022-11-07,2025-05-24,CLOSED
300258,101374,80218 Vazquez Rest Apt. 469,Chrisstad,SC,2020-08-19,,ACTIVE
300259,100849,78721 Joshua Mountains,Samanthaport,VA,2021-10-18,,ACTIVE
300260,100500,3953 Vargas Bridge,Jacksonport,NC,2024-09-10,,ACTIVE
300261,100620,10844 Sarah Manor,New Donna,SC,2020-03-05,,ACTIVE
300262,100491,621 Elizabeth Ports Apt. 557,Hollyhaven,NC,2020-04-27,,ACTIVE
300263,100613,2550 Bailey Creek Apt. 546,Mullenstad,NC,2022-06-29,,ACTIVE
300264,101490,18947 Williams Circle Suite 310,Burnsmouth,SC,2022-03-11,2023-01-10,CLOSED
300265,100950,88072 Thomas Island,South Andrew,NC,2023-01-09,,ACTIVE
300266,101379,70844 Hill Groves,Hartberg,NC,2018-11-01,,ACTIVE
300267,100762,6811 Tanner Ville Suite 491,Gabrielleside,NC,2023-11-06,2026-06-30,CLOSED
300268,101905,873 Clark Plaza Suite 352,East Brittanyville,NC,2021-11-06,,ACTIVE
300269,100899,44362 Andrew Trafficway,New Robertborough,NC,2018-03-14,,ACTIVE
300270,100257,95170 Stewart Islands Suite 660,Guerrerotown,NC,2023-11-18,,ACTIVE
300271,101059,360 Knight Tunnel Suite 613,Solisview,NC,2021-05-21,,ACTIVE
300272,101387,36938 Stephens Divide Suite 729,South Nicholas,GA,2020-11-29,,ACTIVE
300273,101800,085 Kelly Terrace Suite 951,Merrittport,GA,2025-10-12,,ACTIVE
300274,100728,38127 Catherine Valley Apt. 447,Lake Lauraburgh,NC,2024-04-13,2026-06-30,CLOSED
300275,100859,944 Amber Estates,Mooreville,VA,2023-12-17,,ACTIVE
300276,100969,102 Erin Causeway,Jamieside,NC,2022-12-10,2024-03-11,CLOSED
300277,100612,16639 Gray Tunnel Apt. 961,Carolineville,NC,2025-02-07,,ACTIVE
300278,101245,05743 Colleen Groves Apt. 806,South Josephfort,SC,2020-11-25,,ACTIVE
300279,100538,724 Paul Radial,Lake Jamesville,NC,2022-04-30,,ACTIVE
300280,100936,1584 Allison Grove Apt. 979,Loriview,NC,2025-09-23,,ACTIVE
300281,100534,5705 Renee Heights,Lake Randallton,SC,2025-10-27,,ACTIVE
300282,101349,784 Johnson View,Blairmouth,NC,2022-02-14,,ACTIVE
300283,100104,22540 Walter Orchard Apt. 902,Mataland,TN,2024-05-23,,ACTIVE
300284,101236,87009 Gonzalez Mountain Apt. 684,Dennishaven,VA,2020-07-09,,ACTIVE
300285,101764,9477 Daniel Extensions,Crystalstad,NC,2023-03-16,,ACTIVE
300286,101748,32271 Charles Extension Suite 599,South Patrick,SC,2021-10-14,2025-04-07,CLOSED
300287,101313,53588 Riley Forges,Lake Thomasburgh,GA,2021-02-23,,ACTIVE
300288,101820,75314 Dickson Lakes Suite 104,North Bridget,SC,2020-05-29,,ACTIVE
300289,100332,8840 Ramirez Rest,Port Stacychester,NC,2023-04-16,,ACTIVE
300290,101609,663 Larson Plain,Kennedyborough,NC,2025-04-02,2026-06-30,CLOSED
300291,100517,7976 Gray Trace Suite 593,East Georgeborough,VA,2020-09-01,,ACTIVE
300292,101599,0657 Caroline Well Apt. 292,New Mary,TN,2025-08-30,2026-06-30,CLOSED
300293,100257,1964 Michael Center,Reynoldsside,NC,2025-10-26,,ACTIVE
300294,101569,141 Walker Summit,South Justinfort,FL,2019-07-24,,ACTIVE
300295,101516,522 Kiara Pines Apt. 008,West Joshuaburgh,SC,2024-11-09,,ACTIVE
300296,100224,334 Sandra Point Suite 889,Berrymouth,NC,2025-09-09,2026-06-30,CLOSED
300297,101750,537 Madison Field,South John,NC,2023-06-07,,ACTIVE
300298,101391,32498 Scott Locks Suite 030,Lake Yesenia,NC,2023-09-18,,ACTIVE
300299,101212,923 Gallegos Expressway Apt. 365,South Michealland,SC,2018-06-04,,ACTIVE
300300,101563,5166 Nicholson Courts Suite 135,Lake Nancy,NC,2025-06-19,2026-06-30,CLOSED
300301,101003,365 Vaughan Manors Suite 336,Alexandraborough,GA,2018-06-06,,ACTIVE
300302,101132,5514 Barnes Street Apt. 841,Melissaburgh,NC,2019-04-23,,ACTIVE
300303,101939,72960 Lindsey Shoals Apt. 715,New Michaelmouth,NC,2023-12-23,,ACTIVE
300304,100861,628 Meyers Green,Nguyenland,SC,2023-06-01,,ACTIVE
300305,101394,0551 Frank River,Lake Joshua,NC,2021-05-24,,ACTIVE
300306,101767,593 Adam Expressway Suite 297,Lake Tony,TN,2018-09-17,,ACTIVE
300307,101923,84582 Hudson Mountain,Amandafort,NC,2022-04-15,2023-10-02,CLOSED
300308,101036,53859 Veronica Ports Suite 537,Silvachester,NC,2020-12-22,,ACTIVE
