customer_id,company_name,contact_name,city,state,country
C0063,"Fowler, Espinoza and Anderson",David Miller,Lake Jasonbury,TN,USA
C0064,Allison-West,Whitney Hale,Katrinabury,GA,USA
C0065,Carter-Williams,Shannon Zuniga,Port Alexton,SC,USA
C0066,Page Inc,Tracy Moran,Kentport,VA,USA
C0067,"Brown, Lara and Brown",Marie Rodriguez,Mayville,TN,USA
C0068,Murphy-Moore,Jeffrey Obrien,West Ashley,SC,USA
C0069,Sims Group,Danielle Johnson,East Laurie,GA,USA
C0070,White Group,Steven Roberts,Wallerstad,NC,USA
C0071,King-Sanchez,Kyle Morgan,New Henrybury,GA,USA
C0072,Russell PLC,Phyllis Mason,Lake Susan,TN,USA
C0073,King-Saunders,Travis Haynes,South April,NC,USA
C0074,King and Sons,Nicholas Taylor,Aguirreport,TN,USA
C0075,"Jones, Rodriguez and Roberts",Juan Cortez,South Christian,NC,USA
C0076,Cox LLC,Vanessa Vasquez,South Krista,TN,USA
C0077,"Jenkins, Gonzalez and Eaton",Victoria Fowler,Gwendolynburgh,VA,USA
C0078,Haley-Nunez,William Cline,Lambville,VA,USA
C0079,Hill Group,Sean Wolfe,Robbinsmouth,NC,USA
C0080,Fletcher Ltd,Barbara Hernandez,Burgessfort,VA,USA
C0081,Parker-Stone,Andrew Brown,Markbury,SC,USA
C0082,Scott-Dickerson,James Stephens,Morrowhaven,SC,USA
C0083,Patel-Bennett,Jenny Richardson,Simpsonfort,NC,USA
C0084,"Bolton, Avila and Moran",Angela Warner,North Rhondabury,TN,USA
C0085,Walker-Patton,Patrick Walker,Lake Joshua,NC,USA
C0086,King-Chapman,Jessica Calhoun,East Ashleyton,VA,USA
C0087,Thomas-Walsh,Jason Powell,New Amanda,VA,USA
C0088,"Harris, Bishop and Wilson",Wesley Shaw,Port Lynn,SC,USA
C0089,Barnes-Young,Daniel Crawford,South Stephen,NC,USA
C0090,Flores-Deleon,Carol Blair,Michaelfort,SC,USA
C0091,"Green, Guzman and Cisneros",Cheryl Brown,South Christopherstad,SC,USA
C0092,"Griffin, Powell and Walker",Dustin Smith,Jamesfort,SC,USA
C0093,"Brandt, Johnston and Soto",Rebecca Winters,Timborough,VA,USA
C0094,"Jensen, Thompson and Williams",Ms. Erin Wyatt MD,Danaberg,GA,USA
C0095,Hunt and Sons,Adam Cantu,South Susanport,TN,USA
C0096,Brady-Marsh,Krystal Simmons,Port Mary,GA,USA
C0097,"Knox, Reese and Garcia",Jillian Vaughan,Sandraburgh,TN,USA
C0098,"Nguyen, Griffin and Hill",Michelle Watkins,North Jenniferland,NC,USA
C0099,"Cortez, Taylor and Russell",Jennifer Luna,North Theresa,GA,USA
C0100,Bailey and Sons,Paul Garcia,Joannaburgh,TN,USA
C0101,Allen Inc,Katrina Smith,Port Russell,GA,USA
C0102,Dudley Ltd,Melissa Roberts,Tinaville,GA,USA
C0103,"Hall, Garcia and Powell",Dean Wright,North Amy,NC,USA
C0104,Smith-Cruz,Meghan Scott,Douglasland,TN,USA
C0105,Cook-Bailey,Kurt Vaughn,Maxwellhaven,VA,USA
C0106,Brown-Schroeder,Richard Thomas,North Leslie,NC,USA
C0107,Medina-Perez,Cheryl Payne,West Markshire,TN,USA
C0108,Bell Ltd,Jessica Roth,Manuelport,NC,USA
C0109,"Collins, Shelton and Soto",Brenda Flores,Phillipsport,SC,USA
C0110,Marshall Group,Brandon Moreno,North Michaelbury,GA,USA
C0111,Wise-Lopez,Sheila Leonard,Willismouth,SC,USA
C0112,Tate Ltd,Gavin Martinez,Port John,TN,USA
C0113,"Torres, Baldwin and Briggs",Michelle Jones,East Justinside,NC,USA
C0114,Sullivan-Wiggins,Ruth Morgan,Williammouth,SC,USA
C0115,"Hicks, Tapia and Cook",Rebekah Robinson,Tylerhaven,GA,USA
C0116,"Jordan, Reed and Cooley",Kathryn Skinner,New Nathan,NC,USA
C0117,Schwartz Group,John Wright,West Alyssa,SC,USA
C0118,Richardson Inc,Jeffrey Johnson,Heidishire,SC,USA
C0119,Mcdaniel-Whitehead,Devin Wilson,Youngborough,GA,USA
C0120,"Swanson, Snyder and Cervantes",Felicia Ward,Dawsonmouth,TN,USA
